name,latitude_deg,longitude_deg,departures
O.R. Tambo International Airport,-26.1392,28.246,36943.0
Cairo International Airport,30.111534,31.396694,29192.0
Gran Canaria Airport,27.9319,-15.3866,22981.0
Cape Town International Airport,-33.9648017883,18.6016998291,14248.0
Jomo Kenyatta International Airport,-1.31923997402,36.9277992249,17008.0
Tenerife Sur Airport,28.0445,-16.5725,13449.0
Menara Airport,31.6068992615,-8.03629970551,7824.0
Mohammed V International Airport,33.3675,-7.58997,18298.0
Tunis Carthage International Airport,36.851002,10.2272,6466.0
César Manrique-Lanzarote Airport,28.945499,-13.6052,12337.0
Hurghada International Airport,27.176776,33.796692,5872.0
Addis Ababa Bole International Airport,8.97789,38.799301,36106.0
Fuerteventura Airport,28.4527,-13.8638,8734.0
Kotoka International Airport,5.605189800262451,-0.1667860001325607,5917.0
Julius Nyerere International Airport,-6.87811,39.202599,10819.0
Tenerife Norte-Ciudad de La Laguna Airport,28.4827,-16.341499,14558.0
Entebbe International Airport,0.042386,32.443501,6671.0
Murtala Muhammed International Airport,6.5773701667785645,3.321160078048706,9502.0
Sir Seewoosagur Ramgoolam International Airport,-20.430201,57.683601,5070.0
Abeid Amani Karume International Airport,-6.22202,39.224899,11308.0
Luxor International Airport,25.671037,32.706451,1421.0
Monastir Habib Bourguiba International Airport,35.75809860229492,10.75469970703125,380.0
Seychelles International Airport,-4.67434,55.521801,3713.0
Moi International Airport,-4.03483,39.5942,3790.0
Al Massira Airport,30.322478,-9.412003,2586.0
Hosea Kutako International Airport,-22.4799,17.4709,2181.0
Khartoum International Airport,15.5895,32.5532,1706.0
Kilimanjaro International Airport,-3.42941,37.074501,4586.0
Houari Boumediene Airport,36.693886,3.214531,6939.0
Lanseria International Airport,-25.938499,27.9261,1080.0
Djerba Zarzis International Airport,33.875,10.7755,828.0
Chief Dawid Stuurman International Airport,-33.984901,25.6173,2669.0
Victoria Falls International Airport,-18.09589958190918,25.839000701904297,1220.0
Tangier Ibn Battuta Airport,35.731741,-5.921459,1383.0
Amílcar Cabral International Airport,16.7414,-22.9494,1175.0
Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,5119.0
Kigali International Airport,-1.96863,30.1395,5522.0
Quatro de Fevereiro International Airport,-8.85837,13.2312,4037.0
Nnamdi Azikiwe International Airport,9.00679,7.26317,7908.0
Djibouti-Ambouli Airport,11.5473,43.1595,773.0
Ndjili International Airport,-4.38575,15.4446,1627.0
Maputo Airport,-25.920799,32.572601,3800.0
Rabat-Salé Airport,34.051498,-6.75152,1522.0
Roland Garros Airport,-20.890087,55.518894,3117.0
Banjul International Airport,13.338,-16.652201,1054.0
Nairobi Wilson Airport,-1.321720004081726,36.81480026245117,8674.0
Aswan International Airport,23.968137,32.824445,1624.0
Lilongwe International Airport,-13.7894001007,33.78099823,666.0
Ivato Airport,-18.7969,47.478802,2107.0
Enfidha - Hammamet International Airport,36.075833,10.438611,256.0
Fes Saïss International Airport,33.927299,-4.97796,945.0
N'Djamena International Airport,12.1337,15.034,768.0
Maun Airport,-19.97260093688965,23.431100845336918,894.0
La Palma Airport,28.626499,-17.7556,4591.0
Sir Seretse Khama International Airport,-24.555201,25.9182,1892.0
Roberts International Airport,6.23379,-10.3623,450.0
Maya-Maya Airport,-4.251699924468994,15.253000259399414,814.0
Diori Hamani International Airport,13.4815,2.18361,1317.0
Libreville Leon M'ba International Airport,0.458600014448,9.4122800827,1173.0
Lomé–Tokoin International Airport,6.16561,1.25451,3331.0
Cadjehoun Airport,6.357230186462402,2.384350061416626,1361.0
Modibo Keita International Airport,12.5335,-7.94994,2029.0
Borj El Arab International Airport,30.93249,29.696437,1233.0
Douala International Airport,4.0060801506,9.71947956085,3086.0
Ben Schoeman Airport,-33.035599,27.825899,1110.0
Kruger Mpumalanga International Airport,-25.3831996918,31.1056003571,3438.0
Bujumbura Melchior Ndadaye International Airport,-3.32402,29.318501,852.0
Lungi International Airport,8.61644,-13.1955,1036.0
Juba International Airport,4.87201,31.601101,997.0
Nelson Mandela International Airport,14.941126,-23.484728,796.0
